10:24:39.269 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
10:24:54.297 [main] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/mwk2nfg5mqj20ryd1bozkprucp3opwe5mq1k0pna to view build report, insights, and many more debugging information all at one place!

10:24:58.398 [main] INFO  c.b.config.BrowserStackConfig - ERROR
10:24:58.470 [Thread-0] WARN  c.browserstack.utils.UtilityMethods - Unable to show build URL, as build capability is not used
10:24:58.470 [Thread-0] INFO  c.b.config.BrowserStackConfig - WARN
10:29:19.038 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
10:29:19.045 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
10:29:19.046 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
10:29:32.287 [main] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/5cumpplo4h2df1dyoxrgran0ozvd59mn07ylpuif to view build report, insights, and many more debugging information all at one place!

10:29:38.190 [main] INFO  c.b.config.BrowserStackConfig - ERROR
10:29:38.263 [Thread-0] WARN  c.browserstack.utils.UtilityMethods - Unable to show build URL, as build capability is not used
10:29:38.264 [Thread-0] INFO  c.b.config.BrowserStackConfig - WARN
10:32:23.454 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
10:32:23.462 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
10:32:23.463 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
10:32:39.919 [main] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/j2xr9y8bczctbx8ho6v8frm5px7npvyajenboocs to view build report, insights, and many more debugging information all at one place!

10:32:43.642 [main] INFO  c.b.config.BrowserStackConfig - ERROR
10:32:43.716 [Thread-0] WARN  c.browserstack.utils.UtilityMethods - Unable to show build URL, as build capability is not used
10:32:43.717 [Thread-0] INFO  c.b.config.BrowserStackConfig - WARN
10:42:24.617 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
10:42:24.632 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
10:42:24.632 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
10:42:40.151 [main] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/ca8r6f4uhpjbcsvmvdljwyhaxzwabufeojrjrfch to view build report, insights, and many more debugging information all at one place!

10:42:42.895 [Thread-0] WARN  c.browserstack.utils.UtilityMethods - Unable to show build URL, as build capability is not used
10:42:42.896 [Thread-0] INFO  c.b.config.BrowserStackConfig - WARN
10:43:34.060 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
10:43:34.069 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
10:43:34.070 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
10:44:16.048 [main] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/x8ildo7adj6odf0mqvnsfhslt9zojx6b7jeq9pqq to view build report, insights, and many more debugging information all at one place!

10:44:16.180 [Thread-0] WARN  c.browserstack.utils.UtilityMethods - Unable to show build URL, as build capability is not used
10:44:16.181 [Thread-0] INFO  c.b.config.BrowserStackConfig - WARN
10:46:01.463 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
10:46:01.471 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
10:46:01.471 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
10:46:14.118 [main] INFO  c.browserstack.utils.LogReportingAPI - Visit https://observability.browserstack.com/builds/ruyuibu4vknzessyfoiopcdvdm1vs14xsbgs5kls to view build report, insights, and many more debugging information all at one place!

10:46:14.267 [Thread-0] WARN  c.browserstack.utils.UtilityMethods - Unable to show build URL, as build capability is not used
10:46:14.267 [Thread-0] INFO  c.b.config.BrowserStackConfig - WARN
10:51:22.541 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
10:51:22.551 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
10:51:22.551 [main] INFO  c.browserstack.BrowserStackJavaAgent - Framework set to testng
